rank,primary_class,count
1,R87 - 87 - Residential care activities,78
2,"O82 - 82 - Office administrative, office support and other business support activities",69
3,Q85 - 85 - Education,57
4,R86 - 86 - Human health activities,49
5,N72 - 72 - Scientific research and development,38
6,N70 - 70 - Activities of head offices; management consultancy activities,18
7,O78 - 78 - Employment activities,13
8,"N73 - 73 - Activities of advertising, market research and public relations",13
9,U97 - 97 - Activities of households as employers of domestic personnel,12
10,I55 - 55 - Accommodation,12
11,O80 - 80 - Investigation and security activities,10
12,V99 - 99 - Activities of extraterritorial organizations and bodies,10
13,"T95 - 95 - Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles",9
14,J58 - 58 - Publishing activities,9
15,R88 - 88 - Social work activities without accommodation,8
16,F42 - 42 - Civil engineering,7
17,T94 - 94 - Activities of membership organizations,7
18,N69 - 69 - Legal and accounting activities,7
19,"N74 - 74 - Other professional, scientific and technical activities",7
20,T96 - 96 - Personal service activities,7
