rank,primary_class,count
1,R86 - 86 - Human health activities,65
2,R87 - 87 - Residential care activities,58
3,Q85 - 85 - Education,17
4,N72 - 72 - Scientific research and development,17
5,N70 - 70 - Activities of head offices; management consultancy activities,12
6,R88 - 88 - Social work activities without accommodation,10
7,T96 - 96 - Personal service activities,8
8,V99 - 99 - Activities of extraterritorial organizations and bodies,7
9,I56 - 56 - Food and beverage service activities,6
10,"O82 - 82 - Office administrative, office support and other business support activities",6
11,A03 - 03 - Fishing and aquaculture,5
12,O80 - 80 - Investigation and security activities,5
13,N69 - 69 - Legal and accounting activities,4
14,S93 - 93 - Sports activities and amusement and recreation activities,4
15,U97 - 97 - Activities of households as employers of domestic personnel,3
16,E39 - 39 - Remediation and other waste management service activities,3
17,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",3
18,"N74 - 74 - Other professional, scientific and technical activities",3
19,I55 - 55 - Accommodation,3
20,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,3
