rank,primary_class,count
1,R86 - 86 - Human health activities,5
2,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",4
3,"K62 - 62 - Computer programming, consultancy and related activities",3
4,B06 - 06 - Extraction of crude petroleum and natural gas,3
5,N72 - 72 - Scientific research and development,3
6,C22 - 22 - Manufacture of rubber and plastic products,2
7,C28 - 28 - Manufacture of machinery and equipment n.e.c.,2
8,V99 - 99 - Activities of extraterritorial organizations and bodies,2
9,P84 - 84 - Public administration and defence; compulsory social security,2
10,Q85 - 85 - Education,2
11,B07 - 07 - Mining of metal ores,1
12,G46 - 46 - Wholesale trade,1
13,H53 - 53 - Postal and courier activities,1
14,I55 - 55 - Accommodation,1
15,S90 - 90 - Arts creation and performing arts activities,1
16,O80 - 80 - Investigation and security activities,1
17,C30 - 30 - Manufacture of other transport equipment,1
18,"D35 - 35 - Electricity, gas, steam and air conditioning supply",1
19,C13 - 13 - Manufacture of textiles,1
20,N71 - 71 - Architectural and engineering activities; technical testing and analysis,1
