rank,primary_class,count
1,H49 - 49 - Land transport and transport via pipelines,645
2,Q85 - 85 - Education,67
3,C23 - 23 - Manufacture of other non-metallic mineral products,38
4,C31 - 31 - Manufacture of furniture,20
5,C28 - 28 - Manufacture of machinery and equipment n.e.c.,12
6,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",8
7,U97 - 97 - Activities of households as employers of domestic personnel,6
8,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,6
9,"L64 - 64 - Financial service activities, except insurance and pension funding",6
10,C17 - 17 - Manufacture of paper and paper products,6
11,O80 - 80 - Investigation and security activities,5
12,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",5
13,"N73 - 73 - Activities of advertising, market research and public relations",5
14,A03 - 03 - Fishing and aquaculture,5
15,T94 - 94 - Activities of membership organizations,4
16,F43 - 43 - Specialized construction activities,3
17,G47 - 47 - Retail trade,3
18,C18 - 18 - Printing and reproduction of recorded media,3
19,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",3
20,C24 - 24 - Manufacture of basic metals,3
