rank,primary_class,count
1,C18 - 18 - Printing and reproduction of recorded media,179
2,"S91 - 91 - Library, archives, museum and other cultural activities",175
3,T96 - 96 - Personal service activities,54
4,"N74 - 74 - Other professional, scientific and technical activities",11
5,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",10
6,N69 - 69 - Legal and accounting activities,8
7,R87 - 87 - Residential care activities,5
8,C22 - 22 - Manufacture of rubber and plastic products,4
9,Q85 - 85 - Education,3
10,C31 - 31 - Manufacture of furniture,2
