rank,primary_class,count
1,Q85 - 85 - Education,5566
2,C31 - 31 - Manufacture of furniture,4620
3,"N73 - 73 - Activities of advertising, market research and public relations",2264
4,C27 - 27 - Manufacture of electrical equipment,2130
5,H52 - 52 - Warehousing and support activities for transportation,1796
6,R86 - 86 - Human health activities,1711
7,A02 - 02 - Forestry and logging,1465
8,"S91 - 91 - Library, archives, museum and other cultural activities",1437
9,C18 - 18 - Printing and reproduction of recorded media,1372
10,F42 - 42 - Civil engineering,1300
11,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",1233
12,C15 - 15 - Manufacture of leather and related products,1214
13,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",1037
14,O80 - 80 - Investigation and security activities,870
15,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,853
16,N72 - 72 - Scientific research and development,829
17,N70 - 70 - Activities of head offices; management consultancy activities,674
18,V99 - 99 - Activities of extraterritorial organizations and bodies,593
19,J58 - 58 - Publishing activities,537
20,T94 - 94 - Activities of membership organizations,527
