rank,primary_class,count
1,"N73 - 73 - Activities of advertising, market research and public relations",478
2,Q85 - 85 - Education,313
3,C15 - 15 - Manufacture of leather and related products,289
4,V99 - 99 - Activities of extraterritorial organizations and bodies,287
5,R86 - 86 - Human health activities,286
6,"S91 - 91 - Library, archives, museum and other cultural activities",264
7,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,233
8,R88 - 88 - Social work activities without accommodation,213
9,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",193
10,I55 - 55 - Accommodation,159
11,R87 - 87 - Residential care activities,150
12,S90 - 90 - Arts creation and performing arts activities,149
13,U97 - 97 - Activities of households as employers of domestic personnel,148
14,N70 - 70 - Activities of head offices; management consultancy activities,148
15,O78 - 78 - Employment activities,135
16,N72 - 72 - Scientific research and development,113
17,C31 - 31 - Manufacture of furniture,112
18,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",102
19,O80 - 80 - Investigation and security activities,101
20,S93 - 93 - Sports activities and amusement and recreation activities,99
