rank,primary_class,count
1,N69 - 69 - Legal and accounting activities,2
2,V99 - 99 - Activities of extraterritorial organizations and bodies,2
3,O80 - 80 - Investigation and security activities,2
4,P84 - 84 - Public administration and defence; compulsory social security,1
5,L66 - 66 - Activities auxiliary to financial service and insurance activities,1
6,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",1
7,N70 - 70 - Activities of head offices; management consultancy activities,1
8,C31 - 31 - Manufacture of furniture,1
9,I55 - 55 - Accommodation,1
10,H53 - 53 - Postal and courier activities,1
11,"N73 - 73 - Activities of advertising, market research and public relations",1
12,"E38 - 38 - Waste collection, treatment and disposal, and recovery activities",1
13,U97 - 97 - Activities of households as employers of domestic personnel,1
14,T96 - 96 - Personal service activities,1
15,A02 - 02 - Forestry and logging,1
16,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,1
17,C23 - 23 - Manufacture of other non-metallic mineral products,1
18,"C25 - 25 - Manufacture of fabricated metal products, except machinery and equipment",1
19,R88 - 88 - Social work activities without accommodation,1
