rank,primary_class,count
1,T94 - 94 - Activities of membership organizations,5422
2,"O79 - 79 - Travel agency, tour operator, and other travel related activities",2722
3,B05 - 05 - Mining of coal and lignite,1631
4,H53 - 53 - Postal and courier activities,1626
5,S93 - 93 - Sports activities and amusement and recreation activities,1589
6,R86 - 86 - Human health activities,67
7,"K62 - 62 - Computer programming, consultancy and related activities",63
8,Q85 - 85 - Education,46
9,"N74 - 74 - Other professional, scientific and technical activities",27
10,A03 - 03 - Fishing and aquaculture,14
