rank,primary_class,count
1,N71 - 71 - Architectural and engineering activities; technical testing and analysis,17
2,R87 - 87 - Residential care activities,7
3,"N74 - 74 - Other professional, scientific and technical activities",5
4,R86 - 86 - Human health activities,5
5,U97 - 97 - Activities of households as employers of domestic personnel,5
6,N72 - 72 - Scientific research and development,4
7,"K62 - 62 - Computer programming, consultancy and related activities",4
8,P84 - 84 - Public administration and defence; compulsory social security,4
9,A03 - 03 - Fishing and aquaculture,4
10,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",3
11,N75 - 75 - Veterinary activities,3
12,V99 - 99 - Activities of extraterritorial organizations and bodies,3
13,S92 - 92 - Gambling and betting activities,2
14,H52 - 52 - Warehousing and support activities for transportation,2
15,Q85 - 85 - Education,2
16,G46 - 46 - Wholesale trade,2
17,A02 - 02 - Forestry and logging,2
18,C15 - 15 - Manufacture of leather and related products,2
19,"O79 - 79 - Travel agency, tour operator, and other travel related activities",2
20,O80 - 80 - Investigation and security activities,2
