rank,primary_class,count
1,C17 - 17 - Manufacture of paper and paper products,4300
2,Q85 - 85 - Education,1789
3,C18 - 18 - Printing and reproduction of recorded media,1565
4,R87 - 87 - Residential care activities,636
5,R86 - 86 - Human health activities,619
6,O78 - 78 - Employment activities,506
7,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",496
8,S92 - 92 - Gambling and betting activities,489
9,N72 - 72 - Scientific research and development,436
10,U97 - 97 - Activities of households as employers of domestic personnel,419
11,N70 - 70 - Activities of head offices; management consultancy activities,416
12,C32 - 32 - Other manufacturing,378
13,P84 - 84 - Public administration and defence; compulsory social security,365
14,A03 - 03 - Fishing and aquaculture,359
15,F42 - 42 - Civil engineering,321
16,B06 - 06 - Extraction of crude petroleum and natural gas,301
17,I56 - 56 - Food and beverage service activities,298
18,"N73 - 73 - Activities of advertising, market research and public relations",288
19,N69 - 69 - Legal and accounting activities,286
20,H49 - 49 - Land transport and transport via pipelines,285
