rank,primary_class,count
1,R86 - 86 - Human health activities,219
2,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",210
3,P84 - 84 - Public administration and defence; compulsory social security,192
4,U97 - 97 - Activities of households as employers of domestic personnel,166
5,Q85 - 85 - Education,144
6,O78 - 78 - Employment activities,144
7,R87 - 87 - Residential care activities,131
8,A02 - 02 - Forestry and logging,119
9,"N73 - 73 - Activities of advertising, market research and public relations",96
10,A03 - 03 - Fishing and aquaculture,84
11,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",82
12,R88 - 88 - Social work activities without accommodation,77
13,V99 - 99 - Activities of extraterritorial organizations and bodies,76
14,N72 - 72 - Scientific research and development,71
15,I56 - 56 - Food and beverage service activities,57
16,T94 - 94 - Activities of membership organizations,54
17,"A01 - 01 - Crop and animal production, hunting and related service activities",53
18,I55 - 55 - Accommodation,48
19,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,35
20,"D35 - 35 - Electricity, gas, steam and air conditioning supply",33
