rank,primary_class,count
1,R86 - 86 - Human health activities,4
2,V99 - 99 - Activities of extraterritorial organizations and bodies,4
3,C19 - 19 - Manufacture of coke and refined petroleum products,3
4,A03 - 03 - Fishing and aquaculture,2
5,"A01 - 01 - Crop and animal production, hunting and related service activities",2
6,C17 - 17 - Manufacture of paper and paper products,2
7,A02 - 02 - Forestry and logging,2
8,C18 - 18 - Printing and reproduction of recorded media,2
9,U97 - 97 - Activities of households as employers of domestic personnel,1
10,N72 - 72 - Scientific research and development,1
11,I56 - 56 - Food and beverage service activities,1
12,N75 - 75 - Veterinary activities,1
13,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
14,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",1
15,C20 - 20 - Manufacture of chemicals and chemical products,1
16,"K62 - 62 - Computer programming, consultancy and related activities",1
17,Q85 - 85 - Education,1
18,"L64 - 64 - Financial service activities, except insurance and pension funding",1
19,C12 - 12 - Manufacture of tobacco products,1
20,H51 - 51 - Air transport,1
