rank,primary_class,count
1,"L64 - 64 - Financial service activities, except insurance and pension funding",25
2,H49 - 49 - Land transport and transport via pipelines,25
3,O78 - 78 - Employment activities,8
4,C12 - 12 - Manufacture of tobacco products,7
5,C32 - 32 - Other manufacturing,5
6,C18 - 18 - Printing and reproduction of recorded media,5
7,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",5
8,O80 - 80 - Investigation and security activities,4
9,Q85 - 85 - Education,4
10,R86 - 86 - Human health activities,3
11,I55 - 55 - Accommodation,3
12,R87 - 87 - Residential care activities,3
13,H50 - 50 - Water transport,2
14,C28 - 28 - Manufacture of machinery and equipment n.e.c.,2
15,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",2
16,N70 - 70 - Activities of head offices; management consultancy activities,2
17,U97 - 97 - Activities of households as employers of domestic personnel,2
18,J58 - 58 - Publishing activities,2
19,H51 - 51 - Air transport,2
20,F43 - 43 - Specialized construction activities,2
