rank,primary_class,count
1,O78 - 78 - Employment activities,11
2,R86 - 86 - Human health activities,7
3,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",5
4,Q85 - 85 - Education,4
5,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,3
6,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",2
7,A03 - 03 - Fishing and aquaculture,2
8,R88 - 88 - Social work activities without accommodation,2
9,P84 - 84 - Public administration and defence; compulsory social security,2
10,T96 - 96 - Personal service activities,2
11,C12 - 12 - Manufacture of tobacco products,1
12,T94 - 94 - Activities of membership organizations,1
13,I56 - 56 - Food and beverage service activities,1
14,"O82 - 82 - Office administrative, office support and other business support activities",1
15,C28 - 28 - Manufacture of machinery and equipment n.e.c.,1
16,U97 - 97 - Activities of households as employers of domestic personnel,1
17,J58 - 58 - Publishing activities,1
18,N69 - 69 - Legal and accounting activities,1
19,C32 - 32 - Other manufacturing,1
20,H51 - 51 - Air transport,1
