rank,primary_class,count
1,Q85 - 85 - Education,9666
2,S92 - 92 - Gambling and betting activities,2922
3,E39 - 39 - Remediation and other waste management service activities,2684
4,C18 - 18 - Printing and reproduction of recorded media,2538
5,P84 - 84 - Public administration and defence; compulsory social security,2023
6,R86 - 86 - Human health activities,1990
7,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",1977
8,A02 - 02 - Forestry and logging,1850
9,"D35 - 35 - Electricity, gas, steam and air conditioning supply",1822
10,C23 - 23 - Manufacture of other non-metallic mineral products,1620
11,V99 - 99 - Activities of extraterritorial organizations and bodies,1506
12,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,1490
13,"N73 - 73 - Activities of advertising, market research and public relations",1474
14,B08 - 08 - Other mining and quarrying,1462
15,J58 - 58 - Publishing activities,1405
16,O80 - 80 - Investigation and security activities,1399
17,C28 - 28 - Manufacture of machinery and equipment n.e.c.,1377
18,A03 - 03 - Fishing and aquaculture,1332
19,C31 - 31 - Manufacture of furniture,1329
20,N70 - 70 - Activities of head offices; management consultancy activities,1326
