rank,primary_class,count
1,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",635
2,R86 - 86 - Human health activities,409
3,"N73 - 73 - Activities of advertising, market research and public relations",356
4,P84 - 84 - Public administration and defence; compulsory social security,312
5,A02 - 02 - Forestry and logging,307
6,"D35 - 35 - Electricity, gas, steam and air conditioning supply",306
7,V99 - 99 - Activities of extraterritorial organizations and bodies,282
8,C18 - 18 - Printing and reproduction of recorded media,248
9,J58 - 58 - Publishing activities,219
10,A03 - 03 - Fishing and aquaculture,218
11,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",199
12,R87 - 87 - Residential care activities,168
13,Q85 - 85 - Education,137
14,S92 - 92 - Gambling and betting activities,136
15,"A01 - 01 - Crop and animal production, hunting and related service activities",133
16,M68 - 68 - Real estate activities,131
17,N72 - 72 - Scientific research and development,111
18,U97 - 97 - Activities of households as employers of domestic personnel,109
19,"L64 - 64 - Financial service activities, except insurance and pension funding",88
20,"N74 - 74 - Other professional, scientific and technical activities",84
