rank,primary_class,count
1,R86 - 86 - Human health activities,9
2,R87 - 87 - Residential care activities,9
3,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",6
4,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",5
5,N72 - 72 - Scientific research and development,4
6,Q85 - 85 - Education,4
7,C10 - 10 - Manufacture of food products,2
8,"N73 - 73 - Activities of advertising, market research and public relations",2
9,V99 - 99 - Activities of extraterritorial organizations and bodies,2
10,C18 - 18 - Printing and reproduction of recorded media,2
11,"N74 - 74 - Other professional, scientific and technical activities",2
12,N70 - 70 - Activities of head offices; management consultancy activities,2
13,A03 - 03 - Fishing and aquaculture,2
14,J58 - 58 - Publishing activities,2
15,O80 - 80 - Investigation and security activities,1
16,"K62 - 62 - Computer programming, consultancy and related activities",1
17,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",1
18,O81 - 81 - Services to buildings and landscape activities,1
19,G46 - 46 - Wholesale trade,1
20,B06 - 06 - Extraction of crude petroleum and natural gas,1
