rank,primary_class,count
1,H53 - 53 - Postal and courier activities,443
2,S93 - 93 - Sports activities and amusement and recreation activities,369
3,B05 - 05 - Mining of coal and lignite,367
4,Q85 - 85 - Education,317
5,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",176
6,T94 - 94 - Activities of membership organizations,174
7,C18 - 18 - Printing and reproduction of recorded media,164
8,N72 - 72 - Scientific research and development,122
9,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",103
10,"O82 - 82 - Office administrative, office support and other business support activities",81
11,A02 - 02 - Forestry and logging,79
12,O80 - 80 - Investigation and security activities,78
13,"N73 - 73 - Activities of advertising, market research and public relations",75
14,R86 - 86 - Human health activities,66
15,C31 - 31 - Manufacture of furniture,60
16,N70 - 70 - Activities of head offices; management consultancy activities,60
17,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,55
18,R87 - 87 - Residential care activities,53
19,N69 - 69 - Legal and accounting activities,48
20,C15 - 15 - Manufacture of leather and related products,47
