rank,primary_class,count
1,R87 - 87 - Residential care activities,33
2,V99 - 99 - Activities of extraterritorial organizations and bodies,22
3,N72 - 72 - Scientific research and development,21
4,R86 - 86 - Human health activities,19
5,"A01 - 01 - Crop and animal production, hunting and related service activities",17
6,Q85 - 85 - Education,14
7,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",10
8,R88 - 88 - Social work activities without accommodation,9
9,A03 - 03 - Fishing and aquaculture,8
10,P84 - 84 - Public administration and defence; compulsory social security,7
11,O80 - 80 - Investigation and security activities,6
12,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",5
13,A02 - 02 - Forestry and logging,5
14,N70 - 70 - Activities of head offices; management consultancy activities,5
15,"N73 - 73 - Activities of advertising, market research and public relations",5
16,T96 - 96 - Personal service activities,5
17,I56 - 56 - Food and beverage service activities,5
18,N75 - 75 - Veterinary activities,5
19,O81 - 81 - Services to buildings and landscape activities,4
20,J58 - 58 - Publishing activities,4
