rank,primary_class,count
1,Q85 - 85 - Education,4
2,P84 - 84 - Public administration and defence; compulsory social security,3
3,N72 - 72 - Scientific research and development,3
4,V99 - 99 - Activities of extraterritorial organizations and bodies,3
5,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",2
6,"O82 - 82 - Office administrative, office support and other business support activities",2
7,"N73 - 73 - Activities of advertising, market research and public relations",2
8,N70 - 70 - Activities of head offices; management consultancy activities,2
9,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",2
10,R87 - 87 - Residential care activities,2
11,R86 - 86 - Human health activities,2
12,J58 - 58 - Publishing activities,2
13,N71 - 71 - Architectural and engineering activities; technical testing and analysis,1
14,H50 - 50 - Water transport,1
15,B08 - 08 - Other mining and quarrying,1
16,B09 - 09 - Mining support service activities,1
17,O80 - 80 - Investigation and security activities,1
18,O81 - 81 - Services to buildings and landscape activities,1
19,I55 - 55 - Accommodation,1
20,T94 - 94 - Activities of membership organizations,1
