rank,primary_class,count
1,Q85 - 85 - Education,314
2,R86 - 86 - Human health activities,228
3,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",117
4,C32 - 32 - Other manufacturing,73
5,U97 - 97 - Activities of households as employers of domestic personnel,72
6,T96 - 96 - Personal service activities,69
7,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,69
8,O78 - 78 - Employment activities,62
9,F42 - 42 - Civil engineering,56
10,C28 - 28 - Manufacture of machinery and equipment n.e.c.,55
