rank,primary_class,count
1,R86 - 86 - Human health activities,82
2,U97 - 97 - Activities of households as employers of domestic personnel,26
3,R87 - 87 - Residential care activities,23
4,Q85 - 85 - Education,15
5,"A01 - 01 - Crop and animal production, hunting and related service activities",15
6,R88 - 88 - Social work activities without accommodation,14
7,N70 - 70 - Activities of head offices; management consultancy activities,13
8,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,12
9,V99 - 99 - Activities of extraterritorial organizations and bodies,7
10,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",7
11,A02 - 02 - Forestry and logging,6
12,"L64 - 64 - Financial service activities, except insurance and pension funding",6
13,P84 - 84 - Public administration and defence; compulsory social security,6
14,A03 - 03 - Fishing and aquaculture,6
15,O78 - 78 - Employment activities,4
16,I56 - 56 - Food and beverage service activities,4
17,F41 - 41 - Construction of residential and non-residential buildings,4
18,"O79 - 79 - Travel agency, tour operator, and other travel related activities",3
19,"N74 - 74 - Other professional, scientific and technical activities",3
20,F42 - 42 - Civil engineering,3
