rank,primary_class,count
1,Q85 - 85 - Education,26
2,R87 - 87 - Residential care activities,23
3,R86 - 86 - Human health activities,22
4,O80 - 80 - Investigation and security activities,20
5,J58 - 58 - Publishing activities,12
6,N72 - 72 - Scientific research and development,9
7,V99 - 99 - Activities of extraterritorial organizations and bodies,9
8,"A01 - 01 - Crop and animal production, hunting and related service activities",7
9,T96 - 96 - Personal service activities,6
10,C12 - 12 - Manufacture of tobacco products,6
11,C18 - 18 - Printing and reproduction of recorded media,6
12,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",6
13,C13 - 13 - Manufacture of textiles,6
14,C28 - 28 - Manufacture of machinery and equipment n.e.c.,5
15,"L64 - 64 - Financial service activities, except insurance and pension funding",5
16,P84 - 84 - Public administration and defence; compulsory social security,5
17,"E38 - 38 - Waste collection, treatment and disposal, and recovery activities",5
18,C27 - 27 - Manufacture of electrical equipment,5
19,"O79 - 79 - Travel agency, tour operator, and other travel related activities",4
20,N70 - 70 - Activities of head offices; management consultancy activities,4
