rank,primary_class,count
1,R87 - 87 - Residential care activities,22
2,O80 - 80 - Investigation and security activities,17
3,R86 - 86 - Human health activities,15
4,Q85 - 85 - Education,15
5,N72 - 72 - Scientific research and development,8
6,T96 - 96 - Personal service activities,6
7,V99 - 99 - Activities of extraterritorial organizations and bodies,6
8,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",6
9,C12 - 12 - Manufacture of tobacco products,5
10,P84 - 84 - Public administration and defence; compulsory social security,5
11,"L64 - 64 - Financial service activities, except insurance and pension funding",4
12,"E38 - 38 - Waste collection, treatment and disposal, and recovery activities",4
13,O77 - 77 - Rental and leasing activities,3
14,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",3
15,S90 - 90 - Arts creation and performing arts activities,3
16,G47 - 47 - Retail trade,2
17,A03 - 03 - Fishing and aquaculture,2
18,U97 - 97 - Activities of households as employers of domestic personnel,2
19,"O79 - 79 - Travel agency, tour operator, and other travel related activities",2
20,"E36 - 36 - Water collection, treatment and supply",2
