rank,primary_class,count
1,R86 - 86 - Human health activities,9
2,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",6
3,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,4
4,"K62 - 62 - Computer programming, consultancy and related activities",3
5,A02 - 02 - Forestry and logging,3
6,N72 - 72 - Scientific research and development,3
7,Q85 - 85 - Education,2
8,O81 - 81 - Services to buildings and landscape activities,2
9,R87 - 87 - Residential care activities,2
10,"O82 - 82 - Office administrative, office support and other business support activities",2
11,J58 - 58 - Publishing activities,2
12,"D35 - 35 - Electricity, gas, steam and air conditioning supply",2
13,F42 - 42 - Civil engineering,2
14,V99 - 99 - Activities of extraterritorial organizations and bodies,2
15,"N73 - 73 - Activities of advertising, market research and public relations",1
16,E39 - 39 - Remediation and other waste management service activities,1
17,C12 - 12 - Manufacture of tobacco products,1
18,"C33 - 33 - Repair, maintenance and installation of machinery and equipment",1
19,C10 - 10 - Manufacture of food products,1
20,"C26 - 26 - Manufacture of computer, electronic and optical products",1
