rank,primary_class,count
1,N72 - 72 - Scientific research and development,149
2,N70 - 70 - Activities of head offices; management consultancy activities,95
3,Q85 - 85 - Education,94
4,C12 - 12 - Manufacture of tobacco products,77
5,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,58
6,C15 - 15 - Manufacture of leather and related products,38
7,R87 - 87 - Residential care activities,34
8,R86 - 86 - Human health activities,26
9,G46 - 46 - Wholesale trade,25
10,O80 - 80 - Investigation and security activities,22
