rank,primary_class,count
1,C12 - 12 - Manufacture of tobacco products,104
2,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,103
3,R87 - 87 - Residential care activities,41
4,R86 - 86 - Human health activities,37
5,C15 - 15 - Manufacture of leather and related products,37
6,C23 - 23 - Manufacture of other non-metallic mineral products,36
7,C10 - 10 - Manufacture of food products,29
8,G46 - 46 - Wholesale trade,28
9,C20 - 20 - Manufacture of chemicals and chemical products,25
10,V99 - 99 - Activities of extraterritorial organizations and bodies,25
11,"C29 - 29 - Manufacture of motor vehicles, trailers and semi-trailers",25
12,A02 - 02 - Forestry and logging,24
13,B07 - 07 - Mining of metal ores,24
14,N75 - 75 - Veterinary activities,23
15,"O82 - 82 - Office administrative, office support and other business support activities",19
16,O80 - 80 - Investigation and security activities,19
17,B08 - 08 - Other mining and quarrying,17
18,A03 - 03 - Fishing and aquaculture,17
19,N72 - 72 - Scientific research and development,16
20,H50 - 50 - Water transport,15
