rank,primary_class,count
1,J58 - 58 - Publishing activities,92
2,N69 - 69 - Legal and accounting activities,79
3,R86 - 86 - Human health activities,78
4,Q85 - 85 - Education,77
5,C28 - 28 - Manufacture of machinery and equipment n.e.c.,72
6,U97 - 97 - Activities of households as employers of domestic personnel,69
7,O78 - 78 - Employment activities,50
8,N70 - 70 - Activities of head offices; management consultancy activities,49
9,C13 - 13 - Manufacture of textiles,47
10,C32 - 32 - Other manufacturing,44
11,"A01 - 01 - Crop and animal production, hunting and related service activities",42
12,C27 - 27 - Manufacture of electrical equipment,41
13,V99 - 99 - Activities of extraterritorial organizations and bodies,38
14,H53 - 53 - Postal and courier activities,30
15,C20 - 20 - Manufacture of chemicals and chemical products,29
16,O80 - 80 - Investigation and security activities,28
17,F42 - 42 - Civil engineering,27
18,R87 - 87 - Residential care activities,26
19,"O82 - 82 - Office administrative, office support and other business support activities",26
20,S92 - 92 - Gambling and betting activities,23
