rank,primary_class,count
1,Q85 - 85 - Education,748
2,I55 - 55 - Accommodation,387
3,"N73 - 73 - Activities of advertising, market research and public relations",303
4,F42 - 42 - Civil engineering,293
5,C31 - 31 - Manufacture of furniture,260
6,N72 - 72 - Scientific research and development,249
7,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",244
8,V99 - 99 - Activities of extraterritorial organizations and bodies,218
9,"K63 - 63 - Computing infrastructure, data processing, hosting, and other information service activities",216
10,"A01 - 01 - Crop and animal production, hunting and related service activities",213
11,N70 - 70 - Activities of head offices; management consultancy activities,200
12,A03 - 03 - Fishing and aquaculture,197
13,A02 - 02 - Forestry and logging,179
14,R87 - 87 - Residential care activities,175
15,O80 - 80 - Investigation and security activities,171
16,C15 - 15 - Manufacture of leather and related products,171
17,F43 - 43 - Specialized construction activities,161
18,"C33 - 33 - Repair, maintenance and installation of machinery and equipment",158
19,R86 - 86 - Human health activities,158
20,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,142
