rank,primary_class,count
1,"K63 - 63 - Computing infrastructure, data processing, hosting, and other information service activities",139
2,R87 - 87 - Residential care activities,84
3,R86 - 86 - Human health activities,66
4,A03 - 03 - Fishing and aquaculture,62
5,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",53
6,V99 - 99 - Activities of extraterritorial organizations and bodies,48
7,N69 - 69 - Legal and accounting activities,47
8,N72 - 72 - Scientific research and development,43
9,A02 - 02 - Forestry and logging,38
10,P84 - 84 - Public administration and defence; compulsory social security,38
11,H53 - 53 - Postal and courier activities,38
12,U97 - 97 - Activities of households as employers of domestic personnel,33
13,"O79 - 79 - Travel agency, tour operator, and other travel related activities",30
14,Q85 - 85 - Education,26
15,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",25
16,S92 - 92 - Gambling and betting activities,20
17,G47 - 47 - Retail trade,20
18,T96 - 96 - Personal service activities,18
19,"A01 - 01 - Crop and animal production, hunting and related service activities",17
20,G46 - 46 - Wholesale trade,16
