rank,primary_class,count
1,N72 - 72 - Scientific research and development,5
2,R86 - 86 - Human health activities,4
3,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",4
4,Q85 - 85 - Education,3
5,E39 - 39 - Remediation and other waste management service activities,2
6,V99 - 99 - Activities of extraterritorial organizations and bodies,2
7,R87 - 87 - Residential care activities,2
8,R88 - 88 - Social work activities without accommodation,2
9,"L64 - 64 - Financial service activities, except insurance and pension funding",2
10,"O82 - 82 - Office administrative, office support and other business support activities",1
11,C27 - 27 - Manufacture of electrical equipment,1
12,"T95 - 95 - Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles",1
13,O78 - 78 - Employment activities,1
14,N70 - 70 - Activities of head offices; management consultancy activities,1
15,"J59 - 59 - Motion picture, video and television programme production, sound recording and music publishing activities",1
16,S90 - 90 - Arts creation and performing arts activities,1
17,P84 - 84 - Public administration and defence; compulsory social security,1
18,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",1
19,C10 - 10 - Manufacture of food products,1
20,C20 - 20 - Manufacture of chemicals and chemical products,1
