rank,primary_class,count
1,N72 - 72 - Scientific research and development,217
2,R88 - 88 - Social work activities without accommodation,216
3,Q85 - 85 - Education,194
4,S92 - 92 - Gambling and betting activities,175
5,R86 - 86 - Human health activities,158
6,N71 - 71 - Architectural and engineering activities; technical testing and analysis,120
7,C18 - 18 - Printing and reproduction of recorded media,115
8,A02 - 02 - Forestry and logging,114
9,R87 - 87 - Residential care activities,105
10,K61 - 61 - Telecommunications,102
11,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",92
12,"D35 - 35 - Electricity, gas, steam and air conditioning supply",73
13,"N73 - 73 - Activities of advertising, market research and public relations",64
14,I55 - 55 - Accommodation,63
15,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",63
16,C31 - 31 - Manufacture of furniture,58
17,"A01 - 01 - Crop and animal production, hunting and related service activities",56
18,T96 - 96 - Personal service activities,56
19,H53 - 53 - Postal and courier activities,55
20,F43 - 43 - Specialized construction activities,52
