rank,primary_class,count
1,Q85 - 85 - Education,41
2,R88 - 88 - Social work activities without accommodation,40
3,R86 - 86 - Human health activities,40
4,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",35
5,R87 - 87 - Residential care activities,33
6,A02 - 02 - Forestry and logging,16
7,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,13
8,U97 - 97 - Activities of households as employers of domestic personnel,12
9,N72 - 72 - Scientific research and development,12
10,A03 - 03 - Fishing and aquaculture,12
11,I55 - 55 - Accommodation,11
12,P84 - 84 - Public administration and defence; compulsory social security,11
13,O81 - 81 - Services to buildings and landscape activities,11
14,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",11
15,"N73 - 73 - Activities of advertising, market research and public relations",9
16,H53 - 53 - Postal and courier activities,8
17,S93 - 93 - Sports activities and amusement and recreation activities,8
18,O80 - 80 - Investigation and security activities,7
19,"N74 - 74 - Other professional, scientific and technical activities",7
20,O78 - 78 - Employment activities,6
