rank,primary_class,count
1,T94 - 94 - Activities of membership organizations,33464
2,"O79 - 79 - Travel agency, tour operator, and other travel related activities",13766
3,H53 - 53 - Postal and courier activities,10876
4,B05 - 05 - Mining of coal and lignite,9671
5,S93 - 93 - Sports activities and amusement and recreation activities,6350
6,Q85 - 85 - Education,6027
7,C23 - 23 - Manufacture of other non-metallic mineral products,5635
8,C17 - 17 - Manufacture of paper and paper products,4818
9,M68 - 68 - Real estate activities,3528
10,O80 - 80 - Investigation and security activities,3460
11,P84 - 84 - Public administration and defence; compulsory social security,3024
12,V99 - 99 - Activities of extraterritorial organizations and bodies,2775
13,N72 - 72 - Scientific research and development,2669
14,C30 - 30 - Manufacture of other transport equipment,2634
15,R87 - 87 - Residential care activities,2407
16,C18 - 18 - Printing and reproduction of recorded media,2351
17,R86 - 86 - Human health activities,2196
18,A03 - 03 - Fishing and aquaculture,2147
19,A02 - 02 - Forestry and logging,2113
20,"A01 - 01 - Crop and animal production, hunting and related service activities",2049
