rank,primary_class,count
1,Q85 - 85 - Education,1872
2,V99 - 99 - Activities of extraterritorial organizations and bodies,1559
3,A02 - 02 - Forestry and logging,1550
4,N72 - 72 - Scientific research and development,1542
5,R86 - 86 - Human health activities,1210
6,A03 - 03 - Fishing and aquaculture,1161
7,"A01 - 01 - Crop and animal production, hunting and related service activities",750
8,R87 - 87 - Residential care activities,718
9,N75 - 75 - Veterinary activities,676
10,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",574
11,N70 - 70 - Activities of head offices; management consultancy activities,565
12,P84 - 84 - Public administration and defence; compulsory social security,528
13,U97 - 97 - Activities of households as employers of domestic personnel,504
14,S90 - 90 - Arts creation and performing arts activities,470
15,O80 - 80 - Investigation and security activities,452
16,"N73 - 73 - Activities of advertising, market research and public relations",420
17,U98 - 98 - Undifferentiated goods- and services-producing activities of private households for own use,420
18,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,374
19,"L64 - 64 - Financial service activities, except insurance and pension funding",373
20,R88 - 88 - Social work activities without accommodation,368
