rank,primary_class,count
1,Q85 - 85 - Education,9
2,R87 - 87 - Residential care activities,6
3,N72 - 72 - Scientific research and development,5
4,V99 - 99 - Activities of extraterritorial organizations and bodies,4
5,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",3
6,A03 - 03 - Fishing and aquaculture,3
7,R86 - 86 - Human health activities,3
8,"L65 - 65 - Insurance, reinsurance and pension funding, except compulsory social security",2
9,T96 - 96 - Personal service activities,2
10,O81 - 81 - Services to buildings and landscape activities,2
11,"K62 - 62 - Computer programming, consultancy and related activities",2
12,"A01 - 01 - Crop and animal production, hunting and related service activities",2
13,"O82 - 82 - Office administrative, office support and other business support activities",2
14,N71 - 71 - Architectural and engineering activities; technical testing and analysis,1
15,F43 - 43 - Specialized construction activities,1
16,"O79 - 79 - Travel agency, tour operator, and other travel related activities",1
17,C14 - 14 - Manufacture of wearing apparel,1
18,C15 - 15 - Manufacture of leather and related products,1
19,G47 - 47 - Retail trade,1
20,"C33 - 33 - Repair, maintenance and installation of machinery and equipment",1
